code;class;message;source
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [1:9] INCLUDE: unsafe or unsupported path near STRING('tests/adim36_full_surface/includes/gui_winapi.uxbh') @1:9;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [1:9] INCLUDE: unsafe or unsupported path near STRING('tests/adim36_full_surface/includes/math_aliases.uxbh') @1:9;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [1:9] INCLUDE: unsafe or unsupported path near STRING('tests/adim36_full_surface/includes/nested_constants.uxbh') @1:9;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [1:9] INCLUDE: unsafe or unsupported path near STRING('tests/adim36_full_surface/includes/science_routes.uxbh') @1:9;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [10:7] statement parse failed near OP('#') @10:7;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [2:15] THREAD: unexpected trailing tokens near KEYWORD('SLOT') @2:15;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [2:7] expression expected near OP('=') @2:7;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [22:18] ON: unexpected trailing tokens near KEYWORD('SLOT') @22:18;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [3:1] missing END IF near EOF('') @3:1;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [3:93] missing ) in signature near IDENT('text') @3:93;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [4:1] missing END IF near EOF('') @4:1;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [4:13] statement parse failed near UNKNOWN('$') @4:13;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [42:1] missing END IF near EOF('') @42:1;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 1 error(s), first: [PARSER_STMT_FAIL] [8:5] AST contract node missing: WHILE_STMT near EOL('') @8:5;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 2 error(s), first: [2:5] CLASS: field identifier expected;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 2 error(s), first: [PARSER_STMT_FAIL] [2:14] EVENT: unexpected trailing tokens near KEYWORD('SLOT') @2:14;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 2 error(s), first: [PARSER_STMT_FAIL] [2:5] END: unexpected arguments near KEYWORD('THREAD') @2:5;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 2 error(s), first: [PARSER_STMT_FAIL] [3:5] END: unexpected arguments near IDENT('thread') @3:5;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 2 error(s), first: [PARSER_STMT_FAIL] [4:5] CLASS: duplicate member name: X near IDENT('x') @4:5;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
