opcode,opcode_group,result_type,operand_count,operand_types,has_side_effect,requires_layout,requires_runtime,requires_external,x64_supported,js_supported,wasm_supported,browser_supported,verify_rule,json_supported,status,required_action
MIR_ARRAY_NEW,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_CAST,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_CONST,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_EQ,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_FADD,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_FILE_OPEN,MIR_FILE,TYPE_UNKNOWN,variable,dynamic,YES,NO,YES,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_FUNCTION_BEGIN,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_JS_CALL,MIR_CALL,TYPE_UNKNOWN,variable,dynamic,YES,NO,YES,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_LABEL,MIR_CONTROL,TYPE_UNKNOWN,variable,dynamic,YES,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_LOCAL_DECL,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_MEM_LOAD,MIR_MEMORY,TYPE_UNKNOWN,variable,dynamic,YES,YES,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_NATIVE_ONLY,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_NOP,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_OBJECT_NEW,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_PRINT,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_STR_NEW,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_TRY_BEGIN,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MIR_WASM_IMPORT,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MOD,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
MUL,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
NE,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
NEG,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
NEW,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
NOT,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
OR,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
