category,item,lexer,parser,ast,semantic,hir,mir,ast_interpreter,mir_interpreter,x64_ast,x64_mir,runtime,tests,docs
statements,CASE,implemented,implemented,implemented,implemented,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,missing
statements,CATCH,partial,implemented,missing,partial,missing,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
statements,CDBL,partial,implemented,missing,implemented,missing,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,missing,implemented,partial,missing
statements,CDECL,partial,implemented,missing,partial,missing,partial,missing,diagnostic_only,missing,missing,implemented,implemented,missing
statements,CHR,implemented,implemented,implemented,implemented,partial,diagnostic_only,diagnostic_only,missing,diagnostic_only,diagnostic_only,implemented,implemented,missing
statements,CINT,partial,implemented,missing,implemented,missing,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,implemented,implemented,diagnostic_only
statements,CLASS,partial,implemented,missing,implemented,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,missing,diagnostic_only,implemented,diagnostic_only
statements,CLNG,partial,implemented,missing,implemented,missing,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,partial,diagnostic_only,diagnostic_only
statements,CLOSE,implemented,implemented,implemented,implemented,partial,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,implemented,missing
statements,CLS,partial,implemented,missing,partial,missing,diagnostic_only,missing,missing,missing,diagnostic_only,partial,implemented,diagnostic_only
statements,CODEPTR,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,missing
statements,COLOR,partial,implemented,missing,partial,missing,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,implemented,diagnostic_only
statements,CONST,partial,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,partial,implemented,diagnostic_only
statements,CONSTRUCTOR,partial,implemented,partial,diagnostic_only,missing,missing,missing,diagnostic_only,missing,missing,diagnostic_only,implemented,partial
statements,COS,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,CSNG,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,partial,missing
statements,DEC,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,DECLARE,implemented,implemented,missing,implemented,missing,partial,diagnostic_only,diagnostic_only,diagnostic_only,missing,implemented,implemented,missing
statements,DECORATOR,partial,partial,missing,partial,missing,missing,missing,missing,missing,missing,diagnostic_only,implemented,missing
statements,DEFBYT,partial,implemented,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,diagnostic_only,missing,missing
statements,DEFDBL,partial,implemented,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,diagnostic_only,missing,missing
statements,DEFEXT,partial,implemented,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,diagnostic_only,missing,missing
statements,DEFINT,partial,implemented,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,missing
statements,DEFLNG,partial,implemented,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,diagnostic_only,missing,missing
statements,DEFSNG,partial,implemented,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,diagnostic_only,missing,missing
statements,DEFSTR,partial,implemented,missing,diagnostic_only,missing,missing,diagnostic_only,missing,missing,missing,diagnostic_only,missing,missing
statements,DELETE,partial,implemented,missing,partial,missing,missing,missing,missing,diagnostic_only,diagnostic_only,diagnostic_only,implemented,missing
statements,DESTRUCTOR,partial,implemented,partial,missing,missing,missing,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,DICT,partial,implemented,missing,implemented,partial,missing,diagnostic_only,missing,missing,missing,implemented,implemented,missing
statements,DIM,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,partial
statements,DO,implemented,implemented,implemented,implemented,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,partial,implemented,missing
statements,EACH,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,missing,partial,implemented,missing
statements,ELSE,implemented,implemented,implemented,implemented,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,missing
statements,ELSEIF,implemented,implemented,partial,implemented,missing,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,missing,implemented,implemented,missing
statements,END,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,partial
statements,EOF,implemented,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,missing,implemented,implemented,missing
statements,EVENT,partial,implemented,missing,implemented,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,implemented,partial
statements,EXIT,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,missing,diagnostic_only,missing,implemented,implemented,missing
statements,EXP,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,F128,partial,implemented,missing,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,implemented
statements,F32,partial,implemented,missing,implemented,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,partial
statements,F64,partial,implemented,missing,implemented,missing,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,missing,partial,implemented,partial
statements,F80,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,implemented,implemented,implemented
statements,FINAL,partial,implemented,missing,partial,missing,missing,missing,missing,missing,missing,partial,implemented,missing
statements,FINALLY,partial,implemented,missing,partial,missing,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
statements,FIX,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,diagnostic_only,partial,diagnostic_only
statements,FOR,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
statements,FRIEND,partial,implemented,missing,missing,missing,missing,missing,missing,missing,missing,missing,implemented,missing
statements,FUNCTION,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
statements,GET,partial,implemented,missing,implemented,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,implemented,implemented,missing
statements,GETKEY,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only
statements,GOSUB,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,GOTO,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,implemented,implemented,missing
statements,I16,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,I32,partial,implemented,missing,implemented,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,partial,implemented,missing
statements,I64,partial,implemented,missing,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,I8,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,IF,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
statements,IMMUTABLE,partial,partial,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,missing
statements,IMPLEMENTS,partial,partial,missing,partial,missing,missing,missing,missing,missing,missing,missing,implemented,missing
statements,IMPORT,partial,implemented,missing,partial,missing,missing,missing,missing,missing,diagnostic_only,partial,implemented,diagnostic_only
statements,IN,partial,implemented,partial,implemented,missing,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
statements,INC,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,INCLUDE,implemented,implemented,partial,implemented,missing,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,missing,partial,implemented,missing
statements,INKEY,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only
statements,INLINE,partial,implemented,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,missing,implemented,partial
statements,INPUT,implemented,implemented,missing,implemented,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
statements,INT,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,diagnostic_only,partial,implemented,diagnostic_only
statements,INTERFACE,partial,implemented,missing,implemented,partial,missing,missing,missing,missing,missing,missing,implemented,missing
statements,IS,partial,implemented,missing,implemented,missing,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,partial,implemented,diagnostic_only
statements,KEYWORD,implemented,implemented,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,partial,implemented,implemented
statements,LCASE,partial,implemented,missing,partial,missing,missing,missing,missing,diagnostic_only,missing,implemented,implemented,missing
statements,LEN,implemented,implemented,implemented,implemented,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
statements,LIST,partial,implemented,partial,implemented,partial,missing,diagnostic_only,missing,missing,missing,implemented,implemented,partial
statements,LOCATE,partial,implemented,missing,partial,missing,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,implemented,diagnostic_only
statements,LOF,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,partial,missing
statements,LOG,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,partial,implemented,diagnostic_only
statements,LOOP,implemented,implemented,implemented,implemented,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,missing,partial,implemented,missing
statements,LPTR,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,missing
statements,LTRIM,implemented,implemented,implemented,implemented,missing,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,missing,implemented,implemented,missing
statements,MAGIC,partial,partial,missing,partial,missing,missing,missing,missing,missing,missing,missing,partial,missing
statements,MAIN,partial,implemented,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,diagnostic_only,partial,implemented,missing
statements,MEMCOPYB,partial,implemented,missing,partial,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,MEMCOPYD,partial,implemented,missing,partial,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,MEMCOPYW,partial,implemented,missing,partial,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,MEMFILLB,partial,implemented,missing,partial,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,MEMFILLD,partial,implemented,missing,partial,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,MEMFILLW,partial,implemented,missing,partial,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,METHOD,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,MID,implemented,implemented,implemented,implemented,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,missing,implemented,implemented,missing
statements,MIXIN,partial,partial,missing,partial,missing,missing,missing,missing,missing,missing,diagnostic_only,implemented,missing
statements,MOD,partial,implemented,missing,implemented,missing,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only,partial,implemented,diagnostic_only
statements,MODULE,partial,implemented,missing,implemented,missing,partial,missing,diagnostic_only,missing,diagnostic_only,missing,implemented,partial
statements,MUTABLE,partial,implemented,missing,missing,missing,missing,missing,missing,missing,missing,missing,implemented,missing
statements,NAMESPACE,partial,implemented,missing,missing,missing,missing,missing,missing,missing,missing,missing,implemented,missing
statements,NEW,partial,implemented,missing,implemented,missing,partial,diagnostic_only,diagnostic_only,missing,diagnostic_only,diagnostic_only,implemented,diagnostic_only
statements,NEXT,implemented,implemented,implemented,implemented,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,missing
statements,NOT,implemented,implemented,partial,implemented,missing,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
statements,OBJECT,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,missing,partial,implemented,partial
statements,OFF,implemented,implemented,missing,implemented,missing,missing,missing,missing,diagnostic_only,diagnostic_only,implemented,implemented,missing
statements,OFFSETOF,partial,implemented,missing,implemented,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,ON,implemented,implemented,partial,implemented,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,implemented,implemented,diagnostic_only
statements,OP,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,partial
statements,OPEN,implemented,implemented,implemented,implemented,partial,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,implemented,diagnostic_only
statements,OPERATOR,partial,implemented,partial,partial,missing,missing,missing,missing,diagnostic_only,missing,partial,implemented,missing
statements,OR,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
statements,OVERRIDE,partial,partial,missing,partial,missing,missing,missing,missing,missing,missing,diagnostic_only,implemented,missing
statements,PARALEL,partial,implemented,missing,implemented,missing,missing,missing,diagnostic_only,missing,missing,partial,implemented,missing
statements,PARALLEL,partial,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,missing
statements,PEEKB,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,PEEKD,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,PEEKW,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,PIPE,partial,implemented,missing,implemented,missing,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,partial,implemented,missing
statements,POKE,partial,implemented,missing,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing
statements,POKEB,partial,implemented,missing,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,POKED,partial,implemented,missing,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,POKES,partial,implemented,missing,partial,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,implemented,missing
statements,POKEW,partial,implemented,missing,implemented,missing,missing,missing,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,PRINT,partial,implemented,implemented,implemented,partial,diagnostic_only,missing,missing,diagnostic_only,diagnostic_only,implemented,implemented,partial
statements,PRIVATE,implemented,implemented,implemented,implemented,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,missing
statements,PROPERTY,partial,partial,missing,partial,missing,missing,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,missing
statements,PROTECTED,partial,implemented,missing,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,partial,missing
statements,PTR,partial,implemented,partial,implemented,missing,partial,diagnostic_only,diagnostic_only,diagnostic_only,missing,implemented,implemented,missing
