ast_node,surface_name,semantic_status,type_status,layout_status,lowering_handler,lowering_decision,mir_opcode_sequence,requires_runtime,requires_external,target_x64,target_js,target_wasm,verify_rule,status,required_action
PIPE_STMT,PIPE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
POKEB_STMT,POKEB_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
POKED_STMT,POKED_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
POKES_STMT,POKES_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
POKEW_STMT,POKEW_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
PRINT_ITEM,PRINT_ITEM,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
PRINT_STMT,PRINT_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
PROGRAM,PROGRAM,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
PROMPT_EXPR,PROMPT_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
PUT_STMT,PUT_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_RUNTIME_CALL,AUTO,YES,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
RANDOMIZE_STMT,RANDOMIZE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
RANGE_EXPR,RANGE_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
REDIM_DECL,REDIM_DECL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
REDIM_STMT,REDIM_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
RETURN_STMT,RETURN_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
RETURN_TYPE,RETURN_TYPE,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_COMPILE_TIME_ONLY,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
SEEK_STMT,SEEK_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_RUNTIME_CALL,AUTO,YES,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
SELECT_STMT,SELECT_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
SETNEWOFFSET_STMT,SETNEWOFFSET_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
SETSTRINGSIZE_STMT,SETSTRINGSIZE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
SIZEOF_EXPR,SIZEOF_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
SLOT_CONTROL_STMT,SLOT_CONTROL_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
SLOT_HEADER_ARGS,SLOT_HEADER_ARGS,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
SLOT_STMT,SLOT_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
STRING,STRING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
SUB_STMT,SUB_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
TERNARY_EXPR,TERNARY_EXPR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
THREAD_STMT,THREAD_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
THROW_STMT,THROW_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
TRIGGER_STMT,TRIGGER_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
TRY_BODY,TRY_BODY,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
TRY_STMT,TRY_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
TYPE_FIELD,TYPE_FIELD,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
TYPE_REF,TYPE_REF,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
TYPE_STMT,TYPE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
UNARY,UNARY,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
USING_ITEM,USING_ITEM,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
USING_STMT,USING_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
