surface_id,surface_name,backend,status,recommended_step
UXB-SURFACE-089,GOTO,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-093,LOOP,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-097,STEP,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-100,UNTIL,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-100,UNTIL,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-100,UNTIL,wat,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-100,UNTIL,wasm,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-101,WHILE,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-103,CONST,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-113,ASSERT,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-113,ASSERT,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-114,CATCH,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-114,CATCH,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-115,FINALLY,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-115,FINALLY,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-116,THROW,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-116,THROW,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-133,CLS,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-134,COLOR,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-135,GET,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-136,INPUT,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-137,LOCATE,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-141,SEEK,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-163,CODEPTR,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-163,CODEPTR,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-166,LPTR,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-166,LPTR,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-167,MEMCOPYB,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-167,MEMCOPYB,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-168,MEMCOPYD,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-168,MEMCOPYD,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-169,MEMCOPYW,x64,MISSING,ADD_AST_CONTRACT
