surface_id,surface_name,blocker_code,reason,recommended_step,evidence_file
UXB-SURFACE-171,MEMFILLD,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-172,MEMFILLW,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-173,OFFSETOF,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-174,PEEKB,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-175,PEEKD,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-176,PEEKW,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-178,POKEB,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-179,POKED,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-180,POKES,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-181,POKEW,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
UXB-SURFACE-184,SIZEOF,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-185,VARPTR,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-187,%,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-188,%=,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-191,(,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-196,++,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-201,-=,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-204,/=,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-207,<<,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-208,<<=,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-214,>>,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-215,>>=,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-216,@,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-224,SHR,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-225,XOR,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-228,\=,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-230,^,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-231,^=,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-232,|,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-233,|=,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_expr.fbs
UXB-SURFACE-238,DELETE,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_basic.fbs
