"path","kind","extension","purpose_tr","canonical_status","has_delete_risk","notes"
"compiler/scripts/run_uxb_ast_alias_overlay.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_uxb_mir_alias_overlay.bat","SCRIPT",".bat","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"compiler/scripts/run_uxcollections_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxdataframe_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxdataset_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxgraph_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxllama_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxmath_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxmathcore_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxmatrix_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxnn_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxnn2_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxnn3_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxonnx_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxonnx2_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxstats_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxstats2_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_uxtensor_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_wasm_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_webgpu_smoke.bat","SCRIPT",".bat","diger","ADAY","HAYIR",""
"compiler/scripts/run_workspace_clean_guard.bat","SCRIPT",".bat","workspace_cleaning","ADAY","HAYIR",""
"compiler/scripts/uxb_switchboard.ps1","SCRIPT",".ps1","diger","ADAY","HAYIR",""
"compiler/scripts/workspace_root_helpers.ps1","SCRIPT",".ps1","diger","ADAY","HAYIR",""
"tools/apply_browser_target_patch.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/apply_stage2_ast_contract_patch.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/apply_stage3_hook_trace_patch.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/audit/uxb_ast_contract_audit.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/audit/uxb_ast_contract_build_matrix.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/audit/uxb_ast_contract_collect_contract_nodes.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/audit/uxb_ast_contract_collect_handlers.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/audit/uxb_ast_contract_collect_parser_nodes.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/audit/uxb_ast_contract_fake_status_scan.py","TOOL",".py","fake_status_gate","ADAY","HAYIR",""
"tools/audit/uxb_ast_contract_gate.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/audit/uxb_build_keyword_layer_matrix.py","TOOL",".py","keyword_layer_matrix","KANONIK","HAYIR",""
"tools/audit/uxb_collect_ast_surface.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/audit/uxb_collect_layer_handlers.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/audit/uxb_collect_lexer_surface.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/audit/uxb_collect_parser_surface.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/audit/uxb_keyword_layer_gate.py","TOOL",".py","keyword_layer_gate","KANONIK","HAYIR",""
"tools/audit/uxb_no_fake_status_gate.py","TOOL",".py","fake_status_gate","KANONIK","HAYIR",""
"tools/audit/uxb_step1_surface_core.py","TOOL",".py","diger","FALLBACK","HAYIR",""
"tools/browser_target_patch_audit.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/control/uxb_adim2_lexer_gate.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/control/uxb_adim3_parser_gate.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/control/uxb_surface_lifecycle_matrix.py","TOOL",".py","surface_lifecycle_matrix","KANONIK","HAYIR",""
"tools/install_browser_wasm_toolchain.bat","TOOL",".bat","toolchain_diagnostics","ADAY","HAYIR",""
"tools/install_browser_wasm_toolchain.ps1","TOOL",".ps1","toolchain_diagnostics","ADAY","EVET","TEHLIKELI_ISLEM_VAR;SILME_RISKI_VAR;KANONIK_TEMIZLIK_ARACI_OLAMAZ;ANCAK_MEVCUT_ARAC_ENVANTERINDE_KALIR"
"tools/uxb_alias_overlay_preprocessor.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_browser_build_pro.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_browser_build.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_cli_pipeline_gate.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_codegen_regression_guard.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/uxb_differential_project_runner.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_differential_runner.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_dist_layer_gap_audit.py","TOOL",".py","diger","ADAY","HAYIR",""
