"evidence_file","surface_name","blocker_code","recommended_step"
"src/parser/parser/parser_stmt_basic.fbs","MEMFILLW","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_basic.fbs","POKEB","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_basic.fbs","POKED","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_basic.fbs","POKES","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_basic.fbs","POKEW","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_basic.fbs","RANDOMIZE","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_event_pipe.fbs","BYTE","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_event_pipe.fbs","EVENT","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_event_pipe.fbs","PARALEL","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_event_pipe.fbs","SLOT","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_event_pipe.fbs","THREAD","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_event_pipe.fbs","TRIGGER","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_decl_class_method.fbs","DECORATOR","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_decl_class_method.fbs","MAGIC","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_decl_class_method.fbs","MIXIN","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_decl_class_method.fbs","PROPERTY","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_decl_class_method.fbs","SIHIRLIMETOT","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_decl_core.fbs","IMPLEMENTS","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_decl_core.fbs","SETSTRINGSIZE","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_io.fbs","COLOR","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_io.fbs","LOCATE","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_path_validation_helpers.fbs","LCASE","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_dispatch.fbs","STRPTR","BROKEN","ADD_AST_CONTRACT"
"src/parser/parser/parser_stmt_flow.fbs","UNTIL","BROKEN","ADD_AST_CONTRACT"
