surface_id,surface_name,surface_kind,lifecycle_route,implementation_owner,compile_time_route,runtime_route,backend_route_x64,backend_route_x86,backend_route_js,backend_route_wat,backend_route_wasm,test_positive,test_negative
UXB-SURFACE-153,LUA,runtime_library,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL -> ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL -> x64:NATIVE_ONLY -> x86:NATIVE_ONLY -> js:NATIVE_ONLY -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL,ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL,NATIVE_ONLY,NATIVE_ONLY,NATIVE_ONLY,WASM_UNSUPPORTED,WASM_UNSUPPORTED,docs/matrix/UXB_LIBRARY_SURFACE_MATRIX.csv,BIND_LIBRARY_HANDLER
UXB-SURFACE-154,MATH,runtime_library,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL -> ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL -> x64:NATIVE_ONLY -> x86:NATIVE_ONLY -> js:NATIVE_ONLY -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL,ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL,NATIVE_ONLY,NATIVE_ONLY,NATIVE_ONLY,WASM_UNSUPPORTED,WASM_UNSUPPORTED,docs/matrix/UXB_LIBRARY_SURFACE_MATRIX.csv,BIND_LIBRARY_HANDLER
UXB-SURFACE-155,ONNX,runtime_library,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL -> ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL -> x64:NATIVE_ONLY -> x86:NATIVE_ONLY -> js:NATIVE_ONLY -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL,ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL,NATIVE_ONLY,NATIVE_ONLY,NATIVE_ONLY,WASM_UNSUPPORTED,WASM_UNSUPPORTED,docs/matrix/UXB_LIBRARY_SURFACE_MATRIX.csv,BIND_LIBRARY_HANDLER
UXB-SURFACE-156,OS,runtime_library,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL -> ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL -> x64:NATIVE_ONLY -> x86:NATIVE_ONLY -> js:NATIVE_ONLY -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL,ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL,NATIVE_ONLY,NATIVE_ONLY,NATIVE_ONLY,WASM_UNSUPPORTED,WASM_UNSUPPORTED,docs/matrix/UXB_LIBRARY_SURFACE_MATRIX.csv,BIND_LIBRARY_HANDLER
UXB-SURFACE-157,PROLOG,runtime_library,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL -> ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL -> x64:NATIVE_ONLY -> x86:NATIVE_ONLY -> js:NATIVE_ONLY -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL,ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL,NATIVE_ONLY,NATIVE_ONLY,NATIVE_ONLY,WASM_UNSUPPORTED,WASM_UNSUPPORTED,docs/matrix/UXB_LIBRARY_SURFACE_MATRIX.csv,BIND_LIBRARY_HANDLER
UXB-SURFACE-158,REGEX,runtime_library,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL -> ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL -> x64:NATIVE_ONLY -> x86:NATIVE_ONLY -> js:NATIVE_ONLY -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL,ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL,NATIVE_ONLY,NATIVE_ONLY,NATIVE_ONLY,WASM_UNSUPPORTED,WASM_UNSUPPORTED,docs/matrix/UXB_LIBRARY_SURFACE_MATRIX.csv,BIND_LIBRARY_HANDLER
UXB-SURFACE-159,SERVER,runtime_library,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL -> ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL -> x64:NATIVE_ONLY -> x86:NATIVE_ONLY -> js:NATIVE_ONLY -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL,ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL,NATIVE_ONLY,NATIVE_ONLY,NATIVE_ONLY,WASM_UNSUPPORTED,WASM_UNSUPPORTED,docs/matrix/UXB_LIBRARY_SURFACE_MATRIX.csv,BIND_LIBRARY_HANDLER
UXB-SURFACE-160,SQLITE,runtime_library,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL -> ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL -> x64:NATIVE_ONLY -> x86:NATIVE_ONLY -> js:NATIVE_ONLY -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL,ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL,NATIVE_ONLY,NATIVE_ONLY,NATIVE_ONLY,WASM_UNSUPPORTED,WASM_UNSUPPORTED,docs/matrix/UXB_LIBRARY_SURFACE_MATRIX.csv,BIND_LIBRARY_HANDLER
UXB-SURFACE-161,STRINGX,runtime_library,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL -> ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL -> x64:NATIVE_ONLY -> x86:NATIVE_ONLY -> js:NATIVE_ONLY -> wat:WASM_UNSUPPORTED -> wasm:WASM_UNSUPPORTED,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL,ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:NATIVE_ONLY | library_binding:RUNTIME_CALL,NATIVE_ONLY,NATIVE_ONLY,NATIVE_ONLY,WASM_UNSUPPORTED,WASM_UNSUPPORTED,docs/matrix/UXB_LIBRARY_SURFACE_MATRIX.csv,BIND_LIBRARY_HANDLER
UXB-SURFACE-162,WEBGPU,runtime_library,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL -> ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:BROWSER_ONLY | library_binding:RUNTIME_CALL -> x64:NATIVE_ONLY -> x86:NATIVE_ONLY -> js:JS_ONLY -> wat:BROWSER_ONLY -> wasm:BROWSER_ONLY,codex-step1,lexer:IMPLEMENTED | parser:IMPLEMENTED | ast_contract:COMPILE_TIME_ONLY | semantic:COMPILE_TIME_ONLY | type_binding:COMPILE_TIME_ONLY | layout:NOT_APPLICABLE | hir:COMPILE_TIME_ONLY | mir:RUNTIME_CALL | mir_verify:RUNTIME_CALL,ast_interpreter:RUNTIME_CALL | mir_interpreter:RUNTIME_CALL | browser_runtime:BROWSER_ONLY | library_binding:RUNTIME_CALL,NATIVE_ONLY,NATIVE_ONLY,JS_ONLY,BROWSER_ONLY,BROWSER_ONLY,docs/matrix/UXB_LIBRARY_SURFACE_MATRIX.csv,BIND_LIBRARY_HANDLER
