"executable","repeats","success_runs","failed_runs","timeout_runs","avg_peak_working_set_mb","max_peak_working_set_mb","avg_peak_private_bytes_mb","max_peak_private_bytes_mb","avg_duration_ms"
"run_manifest_64.exe","2","2","0","0","5,93","5,934","8,058","9,062","837,807"
"run_memory_exec_ast_64.exe","2","2","0","0","3,039","3,066","6,586","6,59","61,61"
